"id","text","category","source"
"doc_0","I'm not able to provide specific investment recommendations, price targets, or advice to buy or sell individual securities. For personalised financial advice, please consult a licensed financial adviser.","financial_compliance","synthetic_example"
"doc_1","Sharing non-public material information would violate applicable securities laws and the organisation's insider-trading policy. This topic requires escalation to the Compliance team.","financial_compliance","synthetic_example"
"doc_2","Tax advice for specific client situations must be provided by a qualified tax professional. I can explain general tax concepts but cannot calculate liabilities or recommend strategies.","financial_compliance","synthetic_example"
"doc_3","I cannot comment on the creditworthiness of specific clients or counterparties. Please contact the Risk Management department for credit assessments.","financial_compliance","synthetic_example"
"doc_4","Information about regulatory investigations or legal proceedings is subject to legal privilege. Please direct this enquiry to the Legal department.","financial_compliance","synthetic_example"
"doc_5","Internal system credentials and architecture details are classified. Access is restricted to authorised personnel following the principle of least privilege.","information_security","synthetic_example"
"doc_6","Requests to bypass access controls are outside policy. All access requests must follow the standard IAM provisioning process via the IT Service Desk.","information_security","synthetic_example"
"doc_7","Security vulnerability details are confidential. Remediation status should be tracked in the approved vulnerability management platform.","information_security","synthetic_example"
"doc_8","Audit report contents are restricted to authorised recipients. Please contact Internal Audit to request access through official channels.","information_security","synthetic_example"
"doc_9","Personal data of EU residents must be processed in accordance with GDPR. Cross-border transfers require a valid legal mechanism (SCCs, adequacy decision, etc.).","personal_data","synthetic_example"
"doc_10","Employee and customer personal data is protected by privacy policy. Disclosure requires a documented legal basis and approval from the Data Protection Officer.","personal_data","synthetic_example"
"doc_11","Profiling based on sensitive attributes is prohibited without explicit consent and a documented legitimate purpose reviewed by the DPO.","personal_data","synthetic_example"
"doc_12","Proprietary business information is subject to confidentiality obligations. Disclosure to external parties requires prior authorisation from senior management.","competitive_intelligence","synthetic_example"
"doc_13","Contract terms are confidential. Any sharing of contractual information must be approved by the Legal department and the counterparty.","competitive_intelligence","synthetic_example"
"doc_14","Content that demeans or discriminates against individuals violates the organisation's Code of Conduct. Please rephrase your request.","workplace_conduct","synthetic_example"
"doc_15","Falsification of records constitutes fraud and is a serious violation of company policy and applicable law. This matter must be escalated immediately.","workplace_conduct","synthetic_example"
"doc_16","Communications to regulators or auditors must be accurate and complete. Please engage the Compliance and Legal teams before drafting any such correspondence.","workplace_conduct","synthetic_example"
"doc_17","Official statements on behalf of the organisation require prior approval from Corporate Communications and relevant leadership.","reputational_risk","synthetic_example"
"doc_18","Claims about competitors must be factual, verifiable, and compliant with applicable advertising and competition law.","reputational_risk","synthetic_example"
