"id","text","category","risk_level","threshold"
"rule_0","Provide specific investment advice, recommend buying or selling individual securities, or make price predictions for any financial instrument.","financial_compliance","5","0.42"
"rule_1","Share non-public material information about publicly traded companies, mergers, acquisitions, or earnings data before official announcements.","financial_compliance","5","0.4"
"rule_2","Calculate or advise on tax liabilities, deductions, or tax-optimisation strategies for specific client situations.","financial_compliance","4","0.45"
"rule_3","Discuss the creditworthiness or solvency of specific clients, counterparties, or portfolio companies.","financial_compliance","4","0.43"
"rule_4","Comment on regulatory investigations, lawsuits, or enforcement actions involving the organisation or its partners.","financial_compliance","5","0.38"
"rule_5","Reveal internal system architecture, API credentials, authentication tokens, encryption keys, or infrastructure topology.","information_security","5","0.4"
"rule_6","Assist in bypassing access controls, privilege escalation, or any unauthorised access to corporate systems.","information_security","5","0.38"
"rule_7","Share details of active security vulnerabilities, unpatched CVEs, or penetration test findings.","information_security","5","0.4"
"rule_8","Discuss the contents of confidential internal audit reports or cybersecurity incident post-mortems.","information_security","4","0.45"
"rule_9","Process, store, or transmit personal data of EU residents in ways that would violate GDPR requirements, including transfers to non-adequate third countries.","personal_data","5","0.42"
"rule_10","Reveal personal contact details, home addresses, health information, or biometric data of employees or customers.","personal_data","5","0.4"
"rule_11","Assist in profiling individuals using sensitive attributes such as ethnicity, religion, political opinion, or trade union membership.","personal_data","5","0.38"
"rule_12","Share proprietary pricing models, client lists, go-to-market strategies, or product roadmaps with external parties.","competitive_intelligence","4","0.45"
"rule_13","Discuss confidential terms of supplier contracts, partnership agreements, or NDAs.","competitive_intelligence","4","0.43"
"rule_14","Generate content that demeans, harasses, or discriminates against individuals based on protected characteristics.","workplace_conduct","5","0.4"
"rule_15","Assist in falsifying financial records, expense reports, or regulatory filings.","workplace_conduct","5","0.38"
"rule_16","Draft communications intended to mislead regulators, auditors, or the board of directors.","workplace_conduct","5","0.38"
"rule_17","Make public statements attributing opinions or positions to the organisation's leadership without authorisation.","reputational_risk","4","0.45"
"rule_18","Share unverified claims about competitors, their products, or their business practices.","reputational_risk","4","0.43"
